,id
0,644641
1,719132
2,572454
3,567378
4,644258
5,648249
6,642130
7,573013
8,647523
9,705788
10,712778
11,646904
12,471057
13,706255
14,644423
15,647804
16,698188
17,712283
18,698503
19,647432
20,654576
21,572698
22,471024
23,647998
24,642359
25,646947
26,697906
27,654234
28,677468
29,648332
30,719182
31,712838
32,571625
33,648350
34,642776
35,697266
36,644470
37,718659
38,648354
39,643502
40,723408
41,644803
42,718734
43,735475
44,654662
45,735327
46,718585
47,654732
48,647181
49,471311
50,574510
51,567130
52,719111
53,697134
54,735551
55,698342
56,705739
57,647970
58,654356
59,676751
60,712152
61,712467
62,706062
63,676755
64,647158
65,470908
66,647922
67,676811
68,642370
69,642069
70,719199
71,647062
72,654224
73,644200
74,697560
75,712697
76,641860
77,735308
78,654311
79,698168
80,729829
81,705869
82,647081
83,697031
84,712447
85,642378
86,648106
87,642945
88,471525
89,697423
90,646261
91,698242
92,648369
93,644204
94,647486
95,723519
96,705735
97,719171
98,644811
99,706096
100,719022
101,706082
102,647974
103,676889
104,573586
105,654822
106,697164
107,645102
108,646684
109,677534
110,712445
111,677433
112,643976
113,642611
114,718618
115,643512
116,697461
117,644051
118,723632
119,572297
120,644956
121,677205
122,706486
123,642080
124,642837
125,712234
126,735518
127,645819
128,712452
129,642978
130,471286
131,643673
132,698140
133,677633
134,571523
135,646478
136,705922
137,723607
138,645939
139,643986
140,705803
141,712292
142,735146
143,723465
144,705579
145,705787
146,566814
147,735208
148,642481
149,642572
150,572640
151,644333
152,644173
153,643056
154,654783
155,654815
156,644754
157,647924
158,698003
159,641734
160,697074
161,647413
162,647516
163,642111
164,718897
165,647330
166,646464
167,706477
168,642884
169,643148
170,643653
171,718896
172,572665
173,642768
174,677712
175,735326
176,697720
177,697104
178,647788
179,647469
180,676707
181,648011
182,645332
183,735496
184,697166
185,646902
186,712765
187,676997
188,677619
189,698546
190,646036
191,471498
192,696981
193,697169
194,718645
195,572601
196,719200
197,654774
198,705562
199,697144
200,719035
201,676687
202,654779
203,697918
204,718719
205,642072
206,705576
207,644916
208,718992
209,648338
210,645127
211,698027
212,471320
213,642969
214,644730
215,698131
216,729818
217,642863
218,642272
219,698634
220,696874
221,723715
222,723713
223,642247
224,719148
225,648352
226,642533
227,648108
228,654566
229,712591
230,642933
231,645647
232,644357
233,643690
234,642850
235,643301
236,697997
237,712700
238,643605
239,647354
240,735228
241,647410
242,697388
243,718762
244,470900
245,645600
246,654607
247,643447
248,734996
249,642975
250,712554
251,697055
252,718732
253,712446
254,644045
255,644760
256,647559
257,567119
258,677374
259,677029
260,697768
261,696980
262,719145
263,677738
264,719102
265,677465
266,697362
267,735143
268,567278
269,718647
270,654289
271,571890
272,647478
273,647481
274,735127
275,643497
276,642705
277,644829
278,573619
279,646723
280,705876
281,648287
282,697172
283,642727
284,712178
285,572701
286,697184
287,705728
288,698412
289,676972
290,642058
291,646029
292,644158
293,643419
294,677158
295,712607
296,643325
297,646460
298,698169
299,654434
300,719137
301,644930
302,646977
303,735321
304,712227
305,696905
306,697666
307,712243
308,643668
309,647404
310,718628
311,644621
312,677388
313,735203
314,712568
315,647203
316,645645
317,644212
318,573656
319,642061
320,642376
321,729777
322,705535
323,697954
324,644663
325,646636
326,567399
327,698584
328,696988
329,647800
330,719149
331,571354
332,698290
333,572812
334,697143
335,677742
336,697077
337,644975
338,644653
339,647939
340,572490
341,643044
342,471504
343,647938
344,573377
345,641748
346,677267
347,646755
348,470812
349,719086
350,645573
351,735396
352,642746
353,677386
354,643067
355,470847
356,642387
357,471299
358,697061
359,735303
360,646876
361,723505
362,472587
363,645324
364,645238
365,735505
366,697629
367,723634
368,646739
369,735498
370,643691
371,647438
372,697512
373,642818
374,676828
375,735516
376,654804
377,471321
378,705894
379,471037
380,654613
381,644577
382,643080
383,642187
384,642093
385,697142
386,645267
387,647858
388,642312
389,697487
390,643107
391,644693
392,642885
393,676717
394,642597
395,676694
396,718934
397,654317
398,643500
399,642995
400,698445
